[2020-11-02 11:11:27] [class-ss-plugin.php:232] Received request to start generating a static archive
[2020-11-02 11:11:32] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\class.akismet.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\class.akismet.php
[2020-11-02 11:11:32] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\index.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\index.php
[2020-11-02 11:11:32] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\LICENSE.txt to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\LICENSE.txt
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\readme.txt to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\readme.txt
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\views\activate.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\views\activate.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\views\config.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\views\config.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\views\connect-jp.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\views\connect-jp.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\views\enter.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\views\enter.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\views\get.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\views\get.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\views\notice.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\views\notice.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\views\predefined.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\views\predefined.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\views\setup.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\views\setup.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\views\start.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\views\start.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\views\stats.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\views\stats.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\views\title.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\views\title.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\wrapper.php to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\wrapper.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\_inc\akismet.css to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\_inc\akismet.css
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\_inc\akismet.js to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\_inc\akismet.js
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\_inc\form.js to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\_inc\form.js
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\akismet\_inc\img\logo-full-2x.png to queue as: http://localhost/gtfofficial/wp-content\plugins\akismet\_inc\img\logo-full-2x.png
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\ayecode-connect\assets\css\ayecode-ui-compatibility.css to queue as: http://localhost/gtfofficial/wp-content\plugins\ayecode-connect\assets\css\ayecode-ui-compatibility.css
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\ayecode-connect\assets\img\ayecode.png to queue as: http://localhost/gtfofficial/wp-content\plugins\ayecode-connect\assets\img\ayecode.png
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\ayecode-connect\assets\img\connect-site.png to queue as: http://localhost/gtfofficial/wp-content\plugins\ayecode-connect\assets\img\connect-site.png
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\ayecode-connect\assets\js\ayecode-connect.js to queue as: http://localhost/gtfofficial/wp-content\plugins\ayecode-connect\assets\js\ayecode-connect.js
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\ayecode-connect\assets\wpmu\ayecode-connect-filter-fix.php to queue as: http://localhost/gtfofficial/wp-content\plugins\ayecode-connect\assets\wpmu\ayecode-connect-filter-fix.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\ayecode-connect\ayecode-connect.php to queue as: http://localhost/gtfofficial/wp-content\plugins\ayecode-connect\ayecode-connect.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\ayecode-connect\includes\class-ayecode-connect-remote-actions.php to queue as: http://localhost/gtfofficial/wp-content\plugins\ayecode-connect\includes\class-ayecode-connect-remote-actions.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\ayecode-connect\includes\class-ayecode-connect-settings.php to queue as: http://localhost/gtfofficial/wp-content\plugins\ayecode-connect\includes\class-ayecode-connect-settings.php
[2020-11-02 11:11:33] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\plugins\ayecode-connect\includes\class-ayecode-connect-support.php to queue as: http://localhost/gtfofficial/wp-content\plugins\ayecode-connect\includes\class-ayecode-connect-support.php
